mmsi;lon;lat;status;turn;speed;accuracy;course;heading;second;maneuver;spare_1;raim;radio;msg_type;repeat
257389000;24.652163;-34.777982;0;22.0;15.3;False;79.4;82;52;0;b'\x00';False;1168;3;0
403539000;24.548937;-34.82215;0;-1.0;12.1;False;85.5;87;44;0;b'\x00';False;67559;1;0
256612000;16.950012;-33.723775;0;-1.0;18.0;False;137.3;138;54;0;b'\x00';False;2247;1;0
563647000;38.516817;-28.08685;0;0.0;13.0;False;257.0;256;53;0;b'\x00';False;2262;1;0
374129000;29.946065;-34.780152;0;0.0;11.3;False;222.1;226;40;0;b'\x00';False;34798;1;0
477617800;15.728018;-33.833133;0;0.0;10.2;False;87.8;86;49;0;b'\x00';False;67578;1;0
477184800;23.237008;-34.686713;0;0.0;13.8;False;262.9;267;45;0;b'\x00';False;49225;1;0
215125000;27.700747;-34.272463;0;3.0;16.1;False;63.7;63;53;0;b'\x00';False;34816;1;0
601489000;21.221493;-34.835383;0;-128.0;9.9;False;291.7;511;42;0;b'\x00';False;2227;1;0
351090000;1.346623;-36.244275;0;-2.0;10.3;False;91.8;90;51;0;b'\x00';False;100370;1;0
257033170;20.162327;-35.044918;0;-2.0;12.3;False;260.1;258;54;0;b'\x00';False;49195;1;0
525119194;24.564532;-36.424132;0;0.0;12.1;False;91.6;89;55;0;b'\x00';False;2296;1;0
352715000;23.115855;-34.600838;0;0.0;11.8;False;257.5;259;57;0;b'\x00';False;33111;1;0
354726000;21.567967;-35.9282;0;-2.0;11.8;False;84.0;84;7;0;b'\x00';False;26708;1;0
314484000;18.11003;-35.266407;0;0.0;9.8;False;89.6;83;7;0;b'\x00';False;65884;1;0
477232800;19.629542;-35.011207;0;-8.0;16.3;False;108.0;109;7;0;b'\x00';False;2222;1;0
356505000;26.089377;-33.83749;0;0.0;7.5;True;312.2;312;8;0;b'\x00';False;26708;1;0
311000621;17.910243;-34.752778;0;0.0;10.6;False;101.2;101;8;0;b'\x00';False;98669;1;0
601762000;19.611957;-35.764913;7;0.0;8.3;False;139.6;134;9;0;b'\x00';False;33138;1;0
319122200;23.483017;-35.5162;0;0.0;14.6;False;231.0;228;10;0;b'\x00';False;65917;1;0
563209200;25.869878;-34.121815;0;0.0;8.0;False;76.3;77;34;0;b'\x00';False;26708;1;0
356837000;17.802;-33.91665;0;0.0;12.0;False;320.0;321;8;0;b'\x00';False;26708;1;0
710033330;29.08554;-33.692882;0;0.0;13.2;False;245.8;244;12;0;b'\x00';False;114699;1;0
